_id,cid,competency,competency_bundle,default_weight,u12boys_weight,u12girls_weight,u14boys_weight,u14girls_weight,u16boys_weight,u16girls_weight,u18boys_weight
61bd99166e19169c42c39676,1,Developing Weapons,Technical,10,10,10,10,10,10,10,10
61bd99166e19169c42c39679,2,Developing Game Styles,Technical,10,10,10,10,10,10,10,10
61bd99166e19169c42c3967c,3,Movemenet & Footwork,Technical,10,10,10,10,10,10,10,10
61bd99166e19169c42c3967f,4,Ball Control,Technical,10,10,10,10,10,10,10,10
61bd99166e19169c42c39682,5,Reception Skills,Technical,10,10,10,10,10,10,10,10
61bd99166e19169c42c39685,6,Forehand,Technical,10,10,10,10,10,10,10,10
61bd99166e19169c42c39688,7,Backhand,Technical,10,10,10,10,10,10,10,10
61bd99166e19169c42c3968b,8,1st Serve,Technical,10,10,10,10,10,10,10,10
61bd99166e19169c42c3968e,9,2nd Serve,Technical,10,10,10,10,10,10,10,10
61bd99166e19169c42c39691,10,Return of 1st Serve,Technical,10,10,10,10,10,10,10,10
61bd99166e19169c42c39694,11,Return of 2nd Serve,Technical,10,10,10,10,10,10,10,10
61bd99166e19169c42c39697,12,FH Volley,Technical,10,10,10,10,10,10,10,10
61bd99166e19169c42c3969a,13,BH Volley,Technical,10,10,10,10,10,10,10,10
61bd99166e19169c42c3969d,14,Overhead,Technical,10,10,10,10,10,10,10,10
61bd99166e19169c42c396a0,15,FH Approach Shot,Technical,10,10,10,10,10,10,10,10
61bd99166e19169c42c396a3,16,BH Approach Shot,Technical,10,10,10,10,10,10,10,10
61bd99166e19169c42c396a6,17,Lobs,Technical,10,10,10,10,10,10,10,10
61bd99166e19169c42c396a9,19,BH Slice,Technical,10,10,10,10,10,10,10,10
61bd99166e19169c42c396ac,20,Speed of Ball,Technical,10,10,10,10,10,10,10,10
61bd99166e19169c42c396af,21,Inside Out Forehand,Technical,10,10,10,10,10,10,10,10
61bdb2886e19169c42c3a586,22,"The desire to get better, to work hard/Attitude",Mental-Emotional,10,10,10,10,10,10,10,10
61bdb2886e19169c42c3a589,23,Enjoyment of training,Mental-Emotional,10,10,10,10,10,10,10,10
61bdb2886e19169c42c3a58c,24,Concentrating Effectively,Mental-Emotional,10,10,10,10,10,10,10,10
61bdb2886e19169c42c3a58f,25,Maintain positive attitude while competing/training,Mental-Emotional,10,10,10,10,10,10,10,10
61bdb2886e19169c42c3a592,26,"Perseverance, determination",Mental-Emotional,10,10,10,10,10,10,10,10
61bdb2886e19169c42c3a595,27,Emotion Management,Mental-Emotional,10,10,10,10,10,10,10,10
61bdb2886e19169c42c3a598,28,Self-Discipline,Mental-Emotional,10,10,10,10,10,10,10,10
61bdb2886e19169c42c3a59b,29,Ability to rise to the occasion,Mental-Emotional,10,10,10,10,10,10,10,10
61bdb2886e19169c42c3a59e,30,Self-Confidence,Mental-Emotional,10,10,10,10,10,10,10,10
61bdb2886e19169c42c3a5a1,31,Visualization,Mental-Emotional,10,10,10,10,10,10,10,10
61bdb2886e19169c42c3a5a4,32,Competition Readiness,Mental-Emotional,10,10,10,10,10,10,10,10
61bdb2886e19169c42c3a5a7,33,Psychological analysis of match,Mental-Emotional,10,10,10,10,10,10,10,10
61bdb2886e19169c42c3a5aa,34,Able to play longer points,Mental-Emotional,10,10,10,10,10,10,10,10
61bdb2886e19169c42c3a5ad,35,Family Support,Mental-Emotional,10,10,10,10,10,10,10,10
61bdb7076e19169c42c3a854,36,Patterns,Tactical,10,10,10,10,10,10,10,10
61bdb7076e19169c42c3a857,37,Placement,Tactical,10,10,10,10,10,10,10,10
61bdb7076e19169c42c3a85a,38,Consistency,Tactical,10,10,10,10,10,10,10,10
61bdb7076e19169c42c3a85d,39,Spins,Tactical,10,10,10,10,10,10,10,10
61bdb7076e19169c42c3a860,40,Power,Tactical,10,10,10,10,10,10,10,10
61bdb7076e19169c42c3a863,41,Depth,Tactical,10,10,10,10,10,10,10,10
61bdb7076e19169c42c3a866,42,Shot Selection,Tactical,10,10,10,10,10,10,10,10
61bdb7076e19169c42c3a869,43,Anticipation,Tactical,10,10,10,10,10,10,10,10
61bdb7076e19169c42c3a86c,44,Decision Making,Tactical,10,10,10,10,10,10,10,10
61bdb7076e19169c42c3a86f,45,Phases of Play,Tactical,10,10,10,10,10,10,10,10
61bdb7076e19169c42c3a872,46,Zones of Play,Tactical,10,10,10,10,10,10,10,10
